userName,score,content
Bukan Robot,1,aplikasi terjelek kebanyakan nonton iklan nya dari pada Derama cerita filem nya
marsha Tea,1,jangan kebanyakan iklan kasian yang ga berlangganan VIP
Wardi Jafar,1,Gak ada film indonesia jelek
Nen _tarak92,1,Aplikasi nya kenapa yah setelah di update kok jadi gak jelas.?
Alimurrosyid Budi Rohmansyah,1,burik
Syam Nur,3,bintangnya aku turunin soalnya di updatetan ini sungguh membuat saya kecewa
Hilyawan Saputra,3,"saya mau log in pke nmor tpi verifikasi nya gak masuk2, kok bisa gitu y ?"
ocow sahal,1,"Niat jualan gak sih?? Masa banyak film dan drama yang gak ada sub bahasa Indonesia nya sih. Kocak bangett dah ini aplikasi, nama nya doang WeTV Indonesia tapi banyak yang gak ada subtitel indonesia."
jmsr,1,iklan nyh terlalu maksa buatt bayarr
Misbach Itink,5,kembalikan dana saya.... saya bulan ini sudah 2x di potong dana saya..... saya merasa di rugi kan
Pita Lya,5,bagussss bangettttttt makasiiii udah captain Apk nyaaaa
Fozan 2626,2,mantap.....
Rahmat Setya,2,ini we tv kenapa tampilan berubah dan mau login dengan FB tidak bisa? soalnya masih ada sisa VIP
rahma eunmi,1,"berlangganan 1 bulan dan masih ada sisa 3 hari sebelum perpanjang, eh tau2 dapet notif dari google play saldo shopee pay kopotong 43rb buat perpanjang masa vip wetv, pdhal di aplikasinya masih ttep sisa 3 hari lagi. minta pengembalian dana juga ngga bisa, payah bgt!! duit 43rb melayang gitu aja, kalo sampe vipnya ngga nambah juga akh uninstall sekalian dah"
Asma Khalisha,4,min ini apakah memang gak ada bahasa indonésia kah kalau gak ada tolong adain
Indah Purwanti,3,"awal2 berlangganan lancar saja pas nonton vidio , makin kesini makin susah nontonnya buffering terus padahal sdh berlangganan kemarin , dan jaringan wifi ku aman , pas buka apk lain bisa pas mau nonton di we tv selalu buffering huftt jadi males ☹️☹️☹️"
aqila ainun mahya,3,udh pembatalan langganan g tahu nya Saldo di poting Skrang we tv VIP nya g bisa buat di tonton
Nakazawa Koto.01,5,untuk fitur (lewati intro dan kredit) mengalami bug di bagian kredit nya di setiap nonton film kredit tidak berfungsi sebagai mana mestinya tolong di perbaiki thanks :) Dulu kalau gak salah kredit masih berfungsi jadi sengaja ku uninstall buat nimbun swallowed star gak kerasa udah update sampai epsd 166 maraton lagi dari epsd 1 taunya kredit gak berfungsi....
